district_rbi,district_gadm,match_score_rbi_gadm,matched_rbi_gadm,state_gadm,is_ambiguous_match
ADILABAD,Adilabad,100.0,True,Telangana,False
AGAR-MALWA,Agar Malwa,90.0,True,Madhya Pradesh,False
AGRA,Agra,100.0,True,Uttar Pradesh,False
AHMADNAGAR,Ahmadnagar,100.0,True,Maharashtra,False
AHMEDABAD,Ahmadabad,88.88888888888889,True,Gujarat,False
AIZAWL,Aizawl,100.0,True,Mizoram,False
AJMER,Ajmer,100.0,True,Rajasthan,False
AKOLA,Akola,100.0,True,Maharashtra,False
ALAPUZHA,Alappuzha,94.11764705882352,True,Kerala,False
ALIGARH,Aligarh,100.0,True,Uttar Pradesh,False
ALIPURDUAR,Alipurduar,100.0,True,West Bengal,False
ALIRAJPUR,Alirajpur,100.0,True,Madhya Pradesh,False
ALLURI SITHARAMA RAJU,,50.0,False,,False
ALMORA,Almora,100.0,True,Uttarakhand,False
ALWAR,Alwar,100.0,True,Rajasthan,False
AMBALA,Ambala,100.0,True,Haryana,False
AMBEDKAR NAGAR,Ambedkar Nagar,100.0,True,Uttar Pradesh,False
AMETHI,Amethi,100.0,True,Uttar Pradesh,False
AMRAVATI,Amravati,100.0,True,Maharashtra,False
AMRELI,Amreli,100.0,True,Gujarat,False
AMRITSAR,Amritsar,100.0,True,Punjab,False
AMROHA,Amroha,100.0,True,Uttar Pradesh,False
ANAKAPALLI,,66.66666666666667,False,,False
ANAND,Anand,100.0,True,Gujarat,False
ANANTHAPURAMU,Anantapur,81.81818181818181,True,Andhra Pradesh,False
ANANTNAG,Anantnag,100.0,True,Jammu and Kashmir,False
ANNAMAYYA,,62.5,False,,False
ANUGUL,Anugul,100.0,True,Odisha,False
ANUPGARH,,73.6842105263158,False,,False
ANUPPUR,Anuppur,100.0,True,Madhya Pradesh,False
ARARIA,Araria,100.0,True,Bihar,False
ARAVALLI,Aravalli,100.0,True,Gujarat,False
ARIYALUR,Ariyalur,100.0,True,Tamil Nadu,False
ARWAL,Arwal,100.0,True,Bihar,False
ASHOKNAGAR,Ashoknagar,100.0,True,Madhya Pradesh,False
AURAIYA,Auraiya,100.0,True,Uttar Pradesh,False
AURANGABAD,Aurangabad,100.0,True,Bihar,True
AURANGABAD,Aurangabad,100.0,True,Maharashtra,True
AYODHYA,,61.53846153846154,False,,False
AZAMGARH,Azamgarh,100.0,True,Uttar Pradesh,False
BADGAM,Badgam,100.0,True,Jammu and Kashmir,False
BAGALKOTE,Bagalkot,94.11764705882352,True,Karnataka,False
BAGESHWAR,Bageshwar,100.0,True,Uttarakhand,False
BAGHPAT,Baghpat,100.0,True,Uttar Pradesh,False
BAHRAICH,Bahraich,100.0,True,Uttar Pradesh,False
