district_gadm,state_gadm,year,q,quarter,quarter_num
Nicobar Islands,Andaman and Nicobar,2015,1,2015Q1,1
Nicobar Islands,Andaman and Nicobar,2015,2,2015Q2,2
Nicobar Islands,Andaman and Nicobar,2015,3,2015Q3,3
Nicobar Islands,Andaman and Nicobar,2015,4,2015Q4,4
Nicobar Islands,Andaman and Nicobar,2016,1,2016Q1,5
Nicobar Islands,Andaman and Nicobar,2016,2,2016Q2,6
Nicobar Islands,Andaman and Nicobar,2016,3,2016Q3,7
Nicobar Islands,Andaman and Nicobar,2016,4,2016Q4,8
Nicobar Islands,Andaman and Nicobar,2017,1,2017Q1,9
Nicobar Islands,Andaman and Nicobar,2017,2,2017Q2,10
Nicobar Islands,Andaman and Nicobar,2017,3,2017Q3,11
Nicobar Islands,Andaman and Nicobar,2017,4,2017Q4,12
Nicobar Islands,Andaman and Nicobar,2018,1,2018Q1,13
Nicobar Islands,Andaman and Nicobar,2018,2,2018Q2,14
Nicobar Islands,Andaman and Nicobar,2018,3,2018Q3,15
Nicobar Islands,Andaman and Nicobar,2018,4,2018Q4,16
Nicobar Islands,Andaman and Nicobar,2019,1,2019Q1,17
Nicobar Islands,Andaman and Nicobar,2019,2,2019Q2,18
Nicobar Islands,Andaman and Nicobar,2019,3,2019Q3,19
Nicobar Islands,Andaman and Nicobar,2019,4,2019Q4,20
Nicobar Islands,Andaman and Nicobar,2020,1,2020Q1,21
Nicobar Islands,Andaman and Nicobar,2020,2,2020Q2,22
Nicobar Islands,Andaman and Nicobar,2020,3,2020Q3,23
Nicobar Islands,Andaman and Nicobar,2020,4,2020Q4,24
Nicobar Islands,Andaman and Nicobar,2021,1,2021Q1,25
Nicobar Islands,Andaman and Nicobar,2021,2,2021Q2,26
Nicobar Islands,Andaman and Nicobar,2021,3,2021Q3,27
Nicobar Islands,Andaman and Nicobar,2021,4,2021Q4,28
Nicobar Islands,Andaman and Nicobar,2022,1,2022Q1,29
Nicobar Islands,Andaman and Nicobar,2022,2,2022Q2,30
Nicobar Islands,Andaman and Nicobar,2022,3,2022Q3,31
Nicobar Islands,Andaman and Nicobar,2022,4,2022Q4,32
Nicobar Islands,Andaman and Nicobar,2023,1,2023Q1,33
Nicobar Islands,Andaman and Nicobar,2023,2,2023Q2,34
Nicobar Islands,Andaman and Nicobar,2023,3,2023Q3,35
Nicobar Islands,Andaman and Nicobar,2023,4,2023Q4,36
