district_emdat,district_gadm_match,match_score_emdat_gadm,matched_emdat_gadm
Administrative Unit Not Available,,43.63636363636364,False
Alappuzha,Alappuzha,100.0,True
Ambedkar Nagar,Ambedkar Nagar,100.0,True
Amreli,Amreli,100.0,True
Anantapur,Anantapur,100.0,True
Andhra Pradesh,,58.33333333333333,False
Araria,Araria,100.0,True
Arunachal Pradesh,,51.61290322580645,False
Assam,,72.72727272727273,False
Auraiya,Auraiya,100.0,True
Azamgarh,Azamgarh,100.0,True
Badaun,Budaun,83.33333333333334,True
Bahraich,Bahraich,100.0,True
Bajali,,66.66666666666667,False
Baksa,Baksa,100.0,True
Ballia,Ballia,100.0,True
Balrampur,Balrampur,100.0,True
Banas Kantha,Banas Kantha,100.0,True
Banaskantha,Banas Kantha,95.65217391304348,True
Bara Banki,Barabanki,94.73684210526316,True
Barmer,Barmer,100.0,True
Barpet Distrcits,,52.17391304347826,False
Barpeta,Barpeta,100.0,True
Basti,Basti,100.0,True
Belgaum,Belgaum,100.0,True
Bhopal,Bhopal,100.0,True
Bihar,Bidar,80.0,True
Bijnor,Bijnor,100.0,True
Bishnupur,Bishnupur,100.0,True
Bongaigaon,Bongaigaon,100.0,True
Boudh,,60.0,False
Cachar,Cachar,100.0,True
Chamoli,Chamoli,100.0,True
Chandauli,Chandauli,100.0,True
Chennai,Chennai,100.0,True
Chhattisgarh,,72.72727272727273,False
Chittoor,Chittoor,100.0,True
Coimbatore,Coimbatore,100.0,True
Cuddalore,Cuddalore,100.0,True
Cuddapah,,58.82352941176471,False
Dakshin Kannad,Dakshina Kannada,93.33333333333333,True
Damoh,Damoh,100.0,True
Darbhanga,Darbhanga,100.0,True
Darjiling,Darjiling,100.0,True
Darrang,Darrang,100.0,True
Delhi,,60.0,False
Deoria,Deoria,100.0,True
Dhemaji,Dhemaji,100.0,True
Dhuburi,Dhubri,92.3076923076923,True
Dibrugarh,Dibrugarh,100.0,True
Dima Hasao,Dima Hasao,100.0,True
East Imphal,East Nimar,76.19047619047619,True
East Khasi Hills,East Khasi Hills,100.0,True
Faizabad,Faizabad,100.0,True
Farrukhabad,Farrukhabad,100.0,True
Gadag,Gadag,100.0,True
Gajapati,Gajapati,100.0,True
Ganjam,Ganjam,100.0,True
Ghazipur,Ghazipur,100.0,True
Goalpara,Goalpara,100.0,True
Golaghat,Golaghat,100.0,True
Gonda,Gonda,100.0,True
Gorakhpur,Gorakhpur,100.0,True
Gujarat,,66.66666666666667,False
Hailakandi,Hailakandi,100.0,True
Hamirpur,Hamirpur,100.0,True
Harda,Harda,100.0,True
Haryana,,71.42857142857143,False
Hathras,Hathras,100.0,True
Himachal Pradesh,,59.25925925925925,False
Hoshangabad,Hoshangabad,100.0,True
Idukki,Idukki,100.0,True
