DisNo.,Start Year,Start Month,Start Day,Location,Admin Units,districts_final_str
2018-0205-IND,2018,6,22.0,"Assam, Maharashtra, Gujarat","[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""}]",Assam;Gujarat;Maharashtra
2019-0499-IND,2019,10,19.0,"Belagavi, Gadag, Koppal districts (Karnataka); Kerala, Tamil Nadu states","[{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1508,""adm1_name"":""Tamil Nadu""},{""adm2_code"":17679,""adm2_name"":""Belgaum""},{""adm2_code"":70163,""adm2_name"":""Gadag""},{""adm2_code"":70165,""adm2_name"":""Koppal""}]",Belgaum;Gadag;Koppal
2015-0107-IND,2015,3,20.0,"Chadoora village (72811 district, Jammu and Kashmir province)","[{""adm2_code"":72811,""adm2_name"":""Administrative unit not available""}]",Administrative unit not available
2017-0294-IND,2017,6,,"Banaskantha, Valsad, Navsari, Surat, Sabarkantha, Patan (Gujarat), Barmer, Jalore, Udaipur, Sirohi, Pali (Rajasthan), Kolkata (West Bengal)",,Banaskantha;Valsad;Navsari;Surat;Sabarkantha;Patan;Barmer;Jalore;Udaipur;Sirohi;Pali;Kolkata
2022-0293-IND,2022,5,17.0,"Itanagar distrci (Arunchal Pradesh); Dima Hasao, Cachar, Udalguri District (Assam); East Khasi Hills, Ri-Bhoi Districts (Meghalaya); Nagaland; Bihar; Himachal Pradesh; Madhya Pradesh; Gujarat; Maharasthra",,Itanagar distrci;Dima Hasao;Cachar;Udalguri District;East Khasi Hills;Ri-Bhoi Districts;Nagaland;Bihar;Himachal Pradesh;Madhya Pradesh;Gujarat;Maharasthra
2023-0330-IND,2023,6,14.0,"Nalbari, Baksa, Lakhimpur, Bajali, Barpet distrcits (Assam);Sikkim",,Nalbari;Baksa;Lakhimpur;Bajali;Barpet distrcits;Sikkim
2023-0428-IND,2023,6,25.0,"Himachal Pradesh, Uttarakhand, Delhi, Bihar, Madyah Pradesh, Maharashtra, Chhattisgarh, Gujarat, Punjab, Karnataka, Assam",,Himachal Pradesh;Uttarakhand;Delhi;Bihar;Madyah Pradesh;Maharashtra;Chhattisgarh;Gujarat;Punjab;Karnataka;Assam
2023-0486-IND,2023,7,27.0,Mulugu District (western Telangana),,Mulugu District
2023-0846-IND,2023,12,18.0,"Thoothukudi, Tirunelveli, Kanniyakumari and Tenkasi Districts (Tamil Nadu state)",,Thoothukudi;Tirunelveli;Kanniyakumari;Tenkasi Districts
2024-0399-IND,2024,5,,Assam and Meghalaya states,,Assam;Meghalaya states
2024-0481-IND,2024,7,9.0,"Pratapgarh, Sultanpur, Chandauli, Mainpuri, Prayagraj, Auraiya, Deoria, Hathras, Varanasi and Siddharthnagar districts (Uttar Pradesh); Assam",,Pratapgarh;Sultanpur;Chandauli;Mainpuri;Prayagraj;Auraiya;Deoria;Hathras;Varanasi;Siddharthnagar districts;Assam
2024-0561-IND,2024,7,31.0,"Mandi, Kullu, Shimla districts (Himachal Pradesh)",,Mandi;Kullu;Shimla districts
2024-0624-IND,2024,8,19.0,Tripura state,,Tripura state
2024-0647-IND,2024,8,26.0,"Gujarat, Maharashtra, Tripura States",,Gujarat;Maharashtra;Tripura States
2024-0719-IND,2024,10,4.0,Meghalaya,,Meghalaya
2018-0295-IND,2018,8,7.0,"Thrissur, Chengannur (Kerala state); West Bengal, Odisha, Assam, Nagaland, Uttar Pradesh, Himachal Pradesh, Maharashtra states","[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1503,""adm1_name"":""Nagaland""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm2_code"":17708,""adm2_name"":""Thrissur""},{""adm2_code"":70298,""adm2_name"":""Alappuzha""}]",Thrissur;Alappuzha
