district_gadm,state_gadm,year,q,quarter,quarter_num,flood_exposure_ruleA_qt,flood_exposure_ruleB_qt,deposits
ADILABAD,TELANGANA,2015,1,2015Q1,1,0,0,6762.0646
ADILABAD,TELANGANA,2015,2,2015Q2,2,0,0,6650.88
ADILABAD,TELANGANA,2015,3,2015Q3,3,0,0,6565.5866
ADILABAD,TELANGANA,2015,4,2015Q4,4,0,0,7026.1575
ADILABAD,TELANGANA,2016,1,2016Q1,5,0,0,7748.2714
ADILABAD,TELANGANA,2016,2,2016Q2,6,0,0,7613.1151
ADILABAD,TELANGANA,2017,2,2017Q2,10,0,0,9340.6208
ADILABAD,TELANGANA,2017,3,2017Q3,11,0,0,9382.2344
ADILABAD,TELANGANA,2017,4,2017Q4,12,0,0,3120.4669
ADILABAD,TELANGANA,2018,1,2018Q1,13,0,0,3357.9837
ADILABAD,TELANGANA,2018,2,2018Q2,14,0,0,3226.4836
ADILABAD,TELANGANA,2018,3,2018Q3,15,0,0,3315.4043
ADILABAD,TELANGANA,2018,4,2018Q4,16,0,0,3322.7218
ADILABAD,TELANGANA,2019,1,2019Q1,17,0,0,3555.539
ADILABAD,TELANGANA,2019,2,2019Q2,18,0,0,3393.0579
ADILABAD,TELANGANA,2019,3,2019Q3,19,0,0,3402.192
ADILABAD,TELANGANA,2019,4,2019Q4,20,0,0,3710.3296
ADILABAD,TELANGANA,2020,1,2020Q1,21,0,0,4171.3783
ADILABAD,TELANGANA,2020,2,2020Q2,22,0,0,4165.5769
ADILABAD,TELANGANA,2020,3,2020Q3,23,0,0,3862.6872
ADILABAD,TELANGANA,2020,4,2020Q4,24,0,0,4234.8301
ADILABAD,TELANGANA,2021,1,2021Q1,25,0,0,3936.0826
ADILABAD,TELANGANA,2021,2,2021Q2,26,0,0,3945.4972
ADILABAD,TELANGANA,2021,3,2021Q3,27,0,0,3846.3742
ADILABAD,TELANGANA,2021,4,2021Q4,28,0,0,3876.5085
ADILABAD,TELANGANA,2022,1,2022Q1,29,0,0,3918.4123
ADILABAD,TELANGANA,2022,2,2022Q2,30,0,0,3965.9083
ADILABAD,TELANGANA,2022,3,2022Q3,31,0,0,3911.778
ADILABAD,TELANGANA,2022,4,2022Q4,32,0,0,3715.9899
ADILABAD,TELANGANA,2023,1,2023Q1,33,0,0,2544.7776
ADILABAD,TELANGANA,2023,2,2023Q2,34,0,0,2659.7119
ADILABAD,TELANGANA,2023,3,2023Q3,35,0,0,2726.7464
ADILABAD,TELANGANA,2023,4,2023Q4,36,0,0,2770.1567
ADILABAD,TELANGANA,2024,1,2024Q1,37,0,0,2878.1069
ADILABAD,TELANGANA,2024,2,2024Q2,38,0,0,2896.8491
ADILABAD,TELANGANA,2024,3,2024Q3,39,0,0,2969.4104
ADILABAD,TELANGANA,2024,4,2024Q4,40,0,0,3093.4188
AGAR MALWA,MADHYA PRADESH,2015,1,2015Q1,1,0,0,428.5647
