district_gadm,state_gadm,quarter,year,q,quarter_num,deposits,district_rbi,state_rbi
Adilabad,Telangana,2004Q1,2004,1,1,144,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2004Q2,2004,2,2,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2004Q3,2004,3,3,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2004Q4,2004,4,4,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2005Q1,2005,1,5,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2005Q2,2005,2,6,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2005Q3,2005,3,7,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2005Q4,2005,4,8,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2006Q1,2006,1,9,143,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2006Q2,2006,2,10,144,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2006Q3,2006,3,11,146,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2006Q4,2006,4,12,146,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2007Q1,2007,1,13,148,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2007Q2,2007,2,14,148,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2007Q3,2007,3,15,148,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2007Q4,2007,4,16,150,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2008Q1,2008,1,17,152,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2008Q2,2008,2,18,156,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2008Q3,2008,3,19,156,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2008Q4,2008,4,20,156,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2009Q1,2009,1,21,162,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2009Q2,2009,2,22,164,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2009Q3,2009,3,23,164,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2009Q4,2009,4,24,171,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2010Q1,2010,1,25,175,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2010Q2,2010,2,26,177,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2010Q3,2010,3,27,179,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2010Q4,2010,4,28,179,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2011Q1,2011,1,29,181,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2011Q2,2011,2,30,181,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2011Q3,2011,3,31,184,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2011Q4,2011,4,32,184,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2012Q1,2012,1,33,190,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2012Q2,2012,2,34,195,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2012Q3,2012,3,35,198,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2012Q4,2012,4,36,203,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2013Q1,2013,1,37,207,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2013Q2,2013,2,38,209,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2013Q3,2013,3,39,218,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2013Q4,2013,4,40,221,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2014Q1,2014,1,41,227,ADILABAD,ANDHRA PRADESH
Adilabad,Telangana,2014Q2,2014,2,42,229,ADILABAD,TELANGANA
Adilabad,Telangana,2014Q3,2014,3,43,234,ADILABAD,TELANGANA
Adilabad,Telangana,2014Q4,2014,4,44,243,ADILABAD,TELANGANA
Adilabad,Telangana,2015Q1,2015,1,45,248,ADILABAD,TELANGANA
Adilabad,Telangana,2015Q2,2015,2,46,247,ADILABAD,TELANGANA
Adilabad,Telangana,2015Q3,2015,3,47,259,ADILABAD,TELANGANA
Adilabad,Telangana,2015Q4,2015,4,48,264,ADILABAD,TELANGANA
Adilabad,Telangana,2016Q1,2016,1,49,271,ADILABAD,TELANGANA
Adilabad,Telangana,2016Q2,2016,2,50,273,ADILABAD,TELANGANA
Adilabad,Telangana,2017Q2,2017,2,51,286,ADILABAD,TELANGANA
Adilabad,Telangana,2017Q3,2017,3,52,283,ADILABAD,TELANGANA
Adilabad,Telangana,2017Q4,2017,4,53,98,ADILABAD,TELANGANA
Adilabad,Telangana,2018Q1,2018,1,54,99,ADILABAD,TELANGANA
Adilabad,Telangana,2018Q2,2018,2,55,101,ADILABAD,TELANGANA
Adilabad,Telangana,2018Q3,2018,3,56,100,ADILABAD,TELANGANA
Adilabad,Telangana,2018Q4,2018,4,57,98,ADILABAD,TELANGANA
Adilabad,Telangana,2019Q1,2019,1,58,100,ADILABAD,TELANGANA
Adilabad,Telangana,2019Q2,2019,2,59,101,ADILABAD,TELANGANA
Adilabad,Telangana,2019Q3,2019,3,60,100,ADILABAD,TELANGANA
Adilabad,Telangana,2019Q4,2019,4,61,101,ADILABAD,TELANGANA
Adilabad,Telangana,2020Q1,2020,1,62,101,ADILABAD,TELANGANA
Adilabad,Telangana,2020Q2,2020,2,63,100,ADILABAD,TELANGANA
Adilabad,Telangana,2020Q3,2020,3,64,97,ADILABAD,TELANGANA
Adilabad,Telangana,2020Q4,2020,4,65,99,ADILABAD,TELANGANA
Adilabad,Telangana,2021Q1,2021,1,66,101,ADILABAD,TELANGANA
Adilabad,Telangana,2021Q2,2021,2,67,103,ADILABAD,TELANGANA
Adilabad,Telangana,2021Q3,2021,3,68,103,ADILABAD,TELANGANA
Adilabad,Telangana,2021Q4,2021,4,69,102,ADILABAD,TELANGANA
Adilabad,Telangana,2022Q1,2022,1,70,100,ADILABAD,TELANGANA
Adilabad,Telangana,2022Q2,2022,2,71,102,ADILABAD,TELANGANA
Adilabad,Telangana,2022Q3,2022,3,72,102,ADILABAD,TELANGANA
Adilabad,Telangana,2022Q4,2022,4,73,101,ADILABAD,TELANGANA
Adilabad,Telangana,2023Q1,2023,1,74,2544.7776,ADILABAD,TELANGANA
Adilabad,Telangana,2023Q2,2023,2,75,2659.7119000000002,ADILABAD,TELANGANA
Adilabad,Telangana,2023Q3,2023,3,76,2726.7464,ADILABAD,TELANGANA
Adilabad,Telangana,2023Q4,2023,4,77,2770.1567,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q1,2024,1,78,2878.1068999999998,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q2,2024,2,79,2896.8491,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q3,2024,3,80,2969.4103999999998,ADILABAD,TELANGANA
Adilabad,Telangana,2024Q4,2024,4,81,3093.4188,ADILABAD,TELANGANA
Adilabad,Telangana,2025Q1,2025,1,82,3381.2753999999995,ADILABAD,TELANGANA
Adilabad,Telangana,2025Q2,2025,2,83,3532.8544,ADILABAD,TELANGANA
Adilabad,Telangana,2025Q3,2025,3,84,3492.5953,ADILABAD,TELANGANA
Agar Malwa,Madhya Pradesh,2013Q3,2013,3,39,26,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2013Q4,2013,4,40,28,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q1,2014,1,41,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q2,2014,2,42,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q3,2014,3,43,30,AGAR-MALWA,MADHYA PRADESH
Agar Malwa,Madhya Pradesh,2014Q4,2014,4,44,30,AGAR-MALWA,MADHYA PRADESH
