gadm_district,gadm_state,year,month,mean_radiance,pixel_count
Adilabad,Telangana,2015,1,0.17119558155536652,158536
Agar Malwa,Madhya Pradesh,2015,1,0.1660551279783249,33071
Agra,Uttar Pradesh,2015,1,0.8448621034622192,45962
Ahmadabad,Gujarat,2015,1,0.7017460465431213,106251
Ahmadnagar,Maharashtra,2015,1,0.2792277932167053,183933
Aizawl,Mizoram,2015,1,0.07640992105007172,36846
Ajmer,Rajasthan,2015,1,0.37838298082351685,111012
Akola,Maharashtra,2015,1,0.2875804603099823,53820
Alappuzha,Kerala,2015,1,0.25719815492630005,18909
Aligarh,Uttar Pradesh,2015,1,0.5160458087921143,39725
Alipurduar,West Bengal,2015,1,0.36136263608932495,22713
Alirajpur,Madhya Pradesh,2015,1,0.19098567962646484,30091
Allahabad,Uttar Pradesh,2015,1,0.7674912810325623,45581
Almora,Uttarakhand,2015,1,0.1496286541223526,33366
Alwar,Rajasthan,2015,1,1.0140150785446167,73079
Ambala,Haryana,2015,1,0.6614881157875061,23312
Ambedkar Nagar,Uttar Pradesh,2015,1,0.30583953857421875,26175
Amethi,Uttar Pradesh,2015,1,0.26932111382484436,32892
Amravati,Maharashtra,2015,1,0.2286834865808487,128847
Amreli,Gujarat,2015,1,0.32201501727104187,65473
Amritsar,Punjab,2015,1,1.3187614679336548,28907
Amroha,Uttar Pradesh,2015,1,0.4578135907649994,29386
Anand,Gujarat,2015,1,0.6029987335205078,28032
Anantapur,Andhra Pradesh,2015,1,0.2015441507101059,152745
Anantnag,Jammu and Kashmir,2015,1,0.1851288229227066,27051
Anjaw,Arunachal Pradesh,2015,1,0.05753057450056076,54790
Anugul,Odisha,2015,1,0.4376976788043976,75307
Anuppur,Madhya Pradesh,2015,1,0.3984769284725189,21247
Araria,Bihar,2015,1,0.3137352764606476,24804
Aravalli,Gujarat,2015,1,0.2735072076320648,33990
Ariyalur,Tamil Nadu,2015,1,0.35732921957969666,17931
Arwal,Bihar,2015,1,0.28276190161705017,6720
Ashoknagar,Madhya Pradesh,2015,1,0.17232070863246918,36015
Auraiya,Uttar Pradesh,2015,1,0.6678463816642761,23969
Aurangabad,Bihar,2015,1,0.011785941198468208,3365460
Azamgarh,Uttar Pradesh,2015,1,0.4008934497833252,39968
Badgam,Jammu and Kashmir,2015,1,0.33799028396606445,11932
Bagalkot,Karnataka,2015,1,0.24083034694194794,74380
Bageshwar,Uttarakhand,2015,1,0.11458778381347656,25217
Baghpat,Uttar Pradesh,2015,1,0.7694630026817322,10875
Bahraich,Uttar Pradesh,2015,1,0.09095868468284607,60896
Baksa,Assam,2015,1,0.2421051412820816,21514
Balaghat,Madhya Pradesh,2015,1,0.08821536600589752,93515
Balangir,Odisha,2015,1,0.2614900469779968,53287
Baleshwar,Odisha,2015,1,0.2656571567058563,60380
Ballia,Uttar Pradesh,2015,1,0.3602460026741028,35444
Balod,Chhattisgarh,2015,1,0.18457084894180298,26133
Baloda Bazar,Chhattisgarh,2015,1,0.4555000960826874,48168
Balrampur,Chhattisgarh,2015,1,0.01850816234946251,558372
Banas Kantha,Gujarat,2015,1,0.3600797951221466,90099
Banda,Uttar Pradesh,2015,1,0.13731072843074799,48586
Bandipore,Jammu and Kashmir,2015,1,0.17284278571605682,24265
Bangalore,Karnataka,2015,1,12.149563789367676,16958
Bangalore Rural,Karnataka,2015,1,0.8554064631462097,29106
Banka,Bihar,2015,1,0.2557487189769745,23680
Bankura,West Bengal,2015,1,0.4448210299015045,68355
Banswara,Rajasthan,2015,1,0.33931854367256165,40768
Barabanki,Uttar Pradesh,2015,1,0.2911984920501709,45616
Baramulla,Jammu and Kashmir,2015,1,0.18908360600471497,29725
Baran,Rajasthan,2015,1,0.4249511957168579,71914
Barddhaman,West Bengal,2015,1,0.9947594404220581,89539
Bareilly,Uttar Pradesh,2015,1,0.5413185358047485,38247
Bargarh,Odisha,2015,1,0.16420768201351166,75521
Barmer,Rajasthan,2015,1,0.1634831428527832,297235
Barnala,Punjab,2015,1,0.5866038203239441,13680
Barpeta,Assam,2015,1,0.2485448271036148,21544
Barwani,Madhya Pradesh,2015,1,0.13949152827262878,52923
Bastar,Chhattisgarh,2015,1,0.17235711216926575,58079
Basti,Uttar Pradesh,2015,1,0.5298624038696289,21294
Bathinda,Punjab,2015,1,0.7843577861785889,35100
Bauda,Odisha,2015,1,0.06285636126995087,36683
Begusarai,Bihar,2015,1,0.46354708075523376,23876
Belgaum,Karnataka,2015,1,0.27930688858032227,126568
Bellary,Karnataka,2015,1,0.33640894293785095,110466
Bemetara,Chhattisgarh,2015,1,0.41121581196784973,32398
Betul,Madhya Pradesh,2015,1,0.12365647405385971,89466
Bhadrak,Odisha,2015,1,0.3786076009273529,22386
Bhagalpur,Bihar,2015,1,0.6497078537940979,24200
Bhandara,Maharashtra,2015,1,0.11918387562036514,68863
Bharatpur,Rajasthan,2015,1,0.5802704095840454,56604
Bharuch,Gujarat,2015,1,1.1765706539154053,48799
Bhavnagar,Gujarat,2015,1,0.39319631457328796,69180
Bhilwara,Rajasthan,2015,1,0.4838164746761322,79921
Bhind,Madhya Pradesh,2015,1,0.27774256467819214,48108
Bhiwani,Haryana,2015,1,0.47382310032844543,40221
Bhojpur,Bihar,2015,1,0.38128983974456787,19460
Bhopal,Madhya Pradesh,2015,1,1.2600938081741333,22613
Bid,Maharashtra,2015,1,0.23995853960514069,103948
Bidar,Karnataka,2015,1,0.38759946823120117,48952
Bijapur,Chhattisgarh,2015,1,0.020073818042874336,1099728
Bijnor,Uttar Pradesh,2015,1,0.41019895672798157,41768
Bikaner,Rajasthan,2015,1,0.20842033624649048,246835
Bilaspur,Chhattisgarh,2015,1,0.011460909619927406,3785696
Birbhum,West Bengal,2015,1,0.4542759358882904,57204
Bishnupur,Manipur,2015,1,0.21291300654411316,5012
Bokaro,Jharkhand,2015,1,1.2475939989089966,28380
Bongaigaon,Assam,2015,1,0.276885449886322,11655
Botad,Gujarat,2015,1,0.2713949382305145,19040
Budaun,Uttar Pradesh,2015,1,0.24851229786872864,44384
Bulandshahr,Uttar Pradesh,2015,1,0.7050735354423523,33371
Buldana,Maharashtra,2015,1,0.2197399139404297,76587
Bundi,Rajasthan,2015,1,0.35505324602127075,54569
Burhanpur,Madhya Pradesh,2015,1,0.13347725570201874,25316
Buxar,Bihar,2015,1,0.28599226474761963,17808
Cachar,Assam,2015,1,0.18054959177970886,37209
Chamba,Himachal Pradesh,2015,1,0.15322227776050568,64467
Chamoli,Uttarakhand,2015,1,0.1729285567998886,71455
Champawat,Uttarakhand,2015,1,0.12258990854024887,14572
Champhai,Mizoram,2015,1,0.03739865869283676,26421
Chamrajnagar,Karnataka,2015,1,0.1881992220878601,57581
Chandauli,Uttar Pradesh,2015,1,0.4388584494590759,25597
Chandel,Manipur,2015,1,0.025585535913705826,30203
Chandigarh,Chandigarh,2015,1,10.437847137451172,1152
Chandrapur,Maharashtra,2015,1,0.29317185282707214,87501
Changlang,Arunachal Pradesh,2015,1,0.05954793840646744,68532
Chatra,Jharkhand,2015,1,0.06677761673927307,44585
Chennai,Tamil Nadu,2015,1,17.613689422607422,1485
Chhatarpur,Madhya Pradesh,2015,1,0.16694705188274384,109121
Chhindwara,Madhya Pradesh,2015,1,0.15837456285953522,89810
Chhota Udaipur,Gujarat,2015,1,0.21792438626289368,32954
Chikballapura,Karnataka,2015,1,0.4202960133552551,36516
Chikmagalur,Karnataka,2015,1,0.14712196588516235,72949
Chirang,Assam,2015,1,0.4534362256526947,13832
Chitradurga,Karnataka,2015,1,0.22158704698085785,84579
Chitrakoot,Uttar Pradesh,2015,1,0.14099912345409393,31728
Chittaurgarh,Rajasthan,2015,1,0.42007976770401,95763
Chittoor,Andhra Pradesh,2015,1,0.2610643804073334,157019
Churachandpur,Manipur,2015,1,0.04484918713569641,39254
Churu,Rajasthan,2015,1,0.21986576914787292,186783
Coimbatore,Tamil Nadu,2015,1,0.6935691833496094,36126
Cuddalore,Tamil Nadu,2015,1,0.6592013239860535,40991
Cuttack,Odisha,2015,1,0.5322205424308777,54843
Dadra and Nagar Haveli,Dadra and Nagar Haveli,2015,1,1.6798701286315918,5700
Dahod,Gujarat,2015,1,0.3006986379623413,38804
Dakshin Dinajpur,West Bengal,2015,1,0.4541076123714447,21000
Dakshina Kannada,Karnataka,2015,1,0.4839653968811035,37645
Daman,Daman and Diu,2015,1,6.2820329666137695,546
Damoh,Madhya Pradesh,2015,1,0.1992214173078537,66031
Dantewada,Chhattisgarh,2015,1,0.13227501511573792,34514
Darbhanga,Bihar,2015,1,0.3794875144958496,24957
Darjiling,West Bengal,2015,1,0.2936280369758606,40016
Darrang,Assam,2015,1,0.265552818775177,17854
Datia,Madhya Pradesh,2015,1,0.2929084599018097,29514
Dausa,Rajasthan,2015,1,0.7401805520057678,45526
Davanagere,Karnataka,2015,1,0.24504882097244263,80508
Debagarh,Odisha,2015,1,0.10303723067045212,26152
Dehradun,Uttarakhand,2015,1,0.5764408111572266,44322
Deoghar,Jharkhand,2015,1,0.5881476402282715,20720
