gadm_district,gadm_state,year,month,mean_radiance,pixel_count
Adilabad,Telangana,2015,1,0.1711955815553665,158536.0
Adilabad,Telangana,2015,2,0.3072996437549591,158834.0
Adilabad,Telangana,2015,3,0.2573839426040649,158834.0
Adilabad,Telangana,2015,4,0.2346676886081695,158828.0
Adilabad,Telangana,2015,5,0.1875637471675872,158769.0
Adilabad,Telangana,2015,6,0.0850851088762283,155794.0
Adilabad,Telangana,2015,7,0.0395106822252273,152989.0
Adilabad,Telangana,2015,8,0.1588161885738372,158570.0
Adilabad,Telangana,2015,9,0.2141113132238388,158583.0
Adilabad,Telangana,2015,10,0.2076227962970733,158833.0
Adilabad,Telangana,2015,11,0.2203900068998336,158834.0
Adilabad,Telangana,2015,12,0.2049401253461837,158727.0
Adilabad,Telangana,2016,1,0.1704833507537841,134603.0
Adilabad,Telangana,2016,2,0.1584031134843826,144320.0
Adilabad,Telangana,2016,3,0.1755193769931793,157717.0
Adilabad,Telangana,2016,4,0.1928515285253524,158834.0
Adilabad,Telangana,2016,5,0.2230104058980941,158829.0
Adilabad,Telangana,2016,6,0.1758587807416916,157905.0
Adilabad,Telangana,2016,7,0.0424446910619735,158032.0
Adilabad,Telangana,2016,8,0.1656953543424606,155233.0
Adilabad,Telangana,2016,9,0.2426441758871078,155531.0
Adilabad,Telangana,2016,10,0.2386436611413955,158830.0
Adilabad,Telangana,2016,11,0.1583777517080307,148419.0
Adilabad,Telangana,2016,12,0.1818893849849701,122986.0
Adilabad,Telangana,2017,1,0.1893342733383178,158639.0
Adilabad,Telangana,2017,2,0.3397449553012848,158834.0
Adilabad,Telangana,2017,3,0.2871640622615814,158834.0
Adilabad,Telangana,2017,4,0.3419049978256225,158834.0
Adilabad,Telangana,2017,5,0.2824648320674896,158834.0
Adilabad,Telangana,2017,6,0.2537295818328857,158834.0
Adilabad,Telangana,2017,7,0.2166417241096496,158388.0
Adilabad,Telangana,2017,8,0.1935657560825348,158782.0
Adilabad,Telangana,2017,9,0.3215088248252868,158831.0
Adilabad,Telangana,2017,10,0.346554696559906,158834.0
Adilabad,Telangana,2017,11,0.2831117510795593,158834.0
Adilabad,Telangana,2017,12,0.2409534603357315,158834.0
Adilabad,Telangana,2018,1,0.268611878156662,158827.0
Adilabad,Telangana,2018,2,0.3219731748104095,158834.0
Adilabad,Telangana,2018,3,0.3205927908420563,158834.0
Adilabad,Telangana,2018,4,0.3582604229450226,158834.0
Adilabad,Telangana,2018,5,0.3209731578826904,158834.0
Adilabad,Telangana,2018,6,0.2686632573604584,158760.0
Adilabad,Telangana,2018,7,0.0031850235536694,158834.0
Adilabad,Telangana,2018,8,0.1208415105938911,158834.0
Adilabad,Telangana,2018,9,0.3230240643024444,158834.0
Adilabad,Telangana,2018,10,0.3141515254974365,158834.0
Adilabad,Telangana,2018,11,0.3231610357761383,158834.0
Adilabad,Telangana,2018,12,0.2426362782716751,158833.0
Adilabad,Telangana,2019,1,0.2389227300882339,158277.0
Adilabad,Telangana,2019,2,0.3041829168796539,158834.0
Adilabad,Telangana,2019,3,0.3842154741287231,158834.0
Adilabad,Telangana,2019,4,0.3424982726573944,158834.0
Adilabad,Telangana,2019,5,0.3353917598724365,158834.0
Adilabad,Telangana,2019,6,0.1298896521329879,158787.0
Adilabad,Telangana,2019,7,0.0016575466142967,158807.0
Adilabad,Telangana,2019,8,0.2697015106678009,158801.0
Adilabad,Telangana,2019,9,0.1444329172372818,158404.0
Adilabad,Telangana,2019,10,0.3345014154911041,158833.0
Adilabad,Telangana,2019,11,0.2623653709888458,158834.0
Adilabad,Telangana,2019,12,0.23331387341022483,158693.0
Adilabad,Telangana,2020,1,0.1965837031602859,150651.0
Adilabad,Telangana,2020,2,0.3647644817829132,158834.0
Adilabad,Telangana,2020,3,0.3930076658725738,158834.0
Adilabad,Telangana,2020,4,0.3828376829624176,158834.0
Adilabad,Telangana,2020,5,0.3480148315429687,158834.0
Adilabad,Telangana,2020,6,0.2331249713897705,158797.0
Adilabad,Telangana,2020,7,0.2337492108345031,158750.0
Adilabad,Telangana,2020,8,0.1920847594738006,158621.0
Adilabad,Telangana,2020,9,0.1329012513160705,158618.0
Adilabad,Telangana,2020,10,0.3110502362251282,158834.0
Adilabad,Telangana,2020,11,0.4040012657642364,158834.0
Adilabad,Telangana,2020,12,0.3521985709667206,158834.0
Adilabad,Telangana,2021,1,0.3222952485084533,158834.0
Adilabad,Telangana,2021,2,0.3755997717380523,158834.0
Adilabad,Telangana,2021,3,0.4743947386741638,158834.0
Adilabad,Telangana,2021,4,0.3968549072742462,158834.0
Adilabad,Telangana,2021,5,0.3797231018543243,158834.0
Adilabad,Telangana,2021,6,0.339641273021698,158803.0
Adilabad,Telangana,2021,7,0.284827709197998,158818.0
Adilabad,Telangana,2021,8,0.0334546789526939,158834.0
Adilabad,Telangana,2021,9,0.1586057841777801,158834.0
Adilabad,Telangana,2021,10,0.4284206628799437,158834.0
Adilabad,Telangana,2021,11,0.3921575546264648,158834.0
Adilabad,Telangana,2021,12,0.3844098448753357,158834.0
Adilabad,Telangana,2022,1,0.3582503199577331,158834.0
Adilabad,Telangana,2022,2,0.4150635004043579,158834.0
Adilabad,Telangana,2022,3,0.4971963167190552,158834.0
Adilabad,Telangana,2022,4,0.4429108202457428,158834.0
Adilabad,Telangana,2022,5,0.4407992959022522,158834.0
Adilabad,Telangana,2022,6,0.2919456660747528,158834.0
Adilabad,Telangana,2022,7,0.0,158834.0
Adilabad,Telangana,2022,8,0.370033711194992,158834.0
Adilabad,Telangana,2022,9,0.4531856477260588,158834.0
Adilabad,Telangana,2022,10,0.4237433075904846,158834.0
Adilabad,Telangana,2022,11,0.3959798514842987,158834.0
Adilabad,Telangana,2022,12,0.3987245559692383,158834.0
Adilabad,Telangana,2023,1,0.3759430348873138,158834.0
Adilabad,Telangana,2023,2,0.4852326810359955,158834.0
Adilabad,Telangana,2023,3,0.4466045796871184,158834.0
Adilabad,Telangana,2023,4,0.4494942426681517,158834.0
Adilabad,Telangana,2023,5,0.4737196564674376,158834.0
Adilabad,Telangana,2023,6,0.4307550489902495,158834.0
Adilabad,Telangana,2023,7,0.016368331387639,158825.0
Adilabad,Telangana,2023,8,0.4158954024314879,158834.0
Adilabad,Telangana,2023,9,0.2675776779651642,158770.0
Adilabad,Telangana,2023,10,0.4699511826038359,158834.0
Adilabad,Telangana,2023,11,0.4995773434638977,158834.0
Adilabad,Telangana,2023,12,0.4257355630397795,158834.0
Adilabad,Telangana,2024,1,0.4140509963035582,158834.0
Adilabad,Telangana,2024,2,0.4020836651325226,158834.0
Adilabad,Telangana,2024,3,0.5308353304862976,158834.0
Adilabad,Telangana,2024,4,0.4978063702583313,158834.0
Adilabad,Telangana,2024,5,0.494472563266754,158834.0
Adilabad,Telangana,2024,6,0.4759057164192198,158834.0
Adilabad,Telangana,2024,7,0.0654016733169555,158834.0
Adilabad,Telangana,2024,8,0.0969709903001785,158834.0
Adilabad,Telangana,2024,9,0.485864520072937,158834.0
Adilabad,Telangana,2024,10,0.5014715194702148,158834.0
Adilabad,Telangana,2024,11,0.4530313909053801,158834.0
Adilabad,Telangana,2024,12,0.4442521929740906,158834.0
Agar Malwa,Madhya Pradesh,2015,1,0.1660551279783249,33071.0
Agar Malwa,Madhya Pradesh,2015,2,0.2011334896087646,33075.0
Agar Malwa,Madhya Pradesh,2015,3,0.1976716667413711,33075.0
