district_gadm,state_gadm,year,q,quarter,quarter_num,flood_exposure_ruleA_qt,flood_exposure_ruleB_qt,deposits,mean_radiance,pixel_count,log_deposits,log_lights_qt,deposit_change_qt,lights_change_qt,flood_ruleA_L1,flood_ruleB_L1,flood_ruleA_L2,flood_ruleB_L2,flood_ruleA_L3,flood_ruleB_L3,flood_ruleA_L4,flood_ruleB_L4
ADILABAD,TELANGANA,2015,1,2015Q1,1,0,0,6762.0646,0.2452930559714635,476204.0,8.819231409503296,-1.401233167629198,,,,,,,,,,
ADILABAD,TELANGANA,2015,2,2015Q2,2,0,0,6650.88,0.1691055148839949,473391.0,8.80265480046279,-1.7713363586832214,-0.01657660904050573,-0.37010319105402334,0.0,0.0,,,,,,
ADILABAD,TELANGANA,2015,3,2015Q3,3,0,0,6565.5866,0.1374793946743011,470142.0,8.789749433090234,-1.977033739337623,-0.012905367372555432,-0.20569738065440157,0.0,0.0,0.0,0.0,,,,
ADILABAD,TELANGANA,2015,4,2015Q4,4,0,0,7026.1575,0.2109843095143635,476394.0,8.857537564488762,-1.551243018773828,0.0677881313985278,0.42579072056379497,0.0,0.0,0.0,0.0,0.0,0.0,,
ADILABAD,TELANGANA,2016,1,2016Q1,5,0,0,7748.2714,0.1681352804104486,436640.0,8.955354105024677,-1.7770564084674783,0.0978165405359146,-0.22581338969365028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2016,2,2016Q2,6,0,0,7613.1151,0.1972402383883793,475568.0,8.937759053718123,-1.618275658577919,-0.0175950513065537,0.15878074988955926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2017,2,2017Q2,10,0,0,9340.6208,0.2926998039086659,476502.0,9.142235049358325,-1.2251971084363966,0.2044759956402018,0.3930785501415224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2017,3,2017Q3,11,0,0,9382.2344,0.2439054350058237,476001.0,9.14667980132727,-1.4068831225147633,0.004444751968945226,-0.1816860140783667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2017,4,2017Q4,12,0,0,3120.4669,0.2902066359917323,476502.0,8.046058330569236,-1.233722174486112,-1.1006214707580337,0.17316094802865134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2018,1,2018Q1,13,0,0,3357.9837,0.3037259479363759,476495.0,8.119393736965806,-1.1883424376521443,0.07333540639656988,0.04537973683396768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2018,2,2018Q2,14,0,0,3226.4836,0.3159656127293904,476428.0,8.079458041375586,-1.1489619881832849,-0.03993569559021992,0.039380449468859435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2018,3,2018Q3,15,0,0,3315.4043,0.1490168661500016,476502.0,8.106636432827884,-1.8970075502068862,0.02717839145229739,-0.7480455620236013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2018,4,2018Q4,16,0,0,3322.7218,0.2933162798484166,476501.0,8.108840458128608,-1.2231003080846894,0.002204025300724055,0.6739072421221968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2019,1,2019Q1,17,0,0,3555.539,0.3091070403655369,475945.0,8.176543159950645,-1.1708377496006048,0.06770270182203753,0.052262558484084565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2019,2,2019Q2,18,0,0,3393.0579,0.2692598948876062,476455.0,8.129781505165454,-1.3083712093029092,-0.04676165478519145,-0.13753345970230435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2019,3,2019Q3,19,0,0,3402.192,0.1385973248397931,476012.0,8.132469093714484,-1.9689932518762097,0.00268758854902984,-0.6606220425733005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2019,4,2019Q4,20,0,0,3710.3296,0.2767268866300582,476360.0,8.219145474147048,-1.2811170703785146,0.08667638043256432,0.687876181497695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2020,1,2020Q1,21,0,0,4171.3783,0.3181186169385909,468319.0,8.336241487944653,-1.1421924053797408,0.11709601379760493,0.13892466499877387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2020,2,2020Q2,22,0,0,4165.5769,0.3213258286317189,476465.0,8.334850090390207,-1.132192354892856,-0.001391397554446172,0.010000050486884682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2020,3,2020Q3,23,0,0,3862.6872,0.1862450738747914,475989.0,8.259377239674635,-1.6753369646756353,-0.07547285071557219,-0.5431446097827792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2020,4,2020Q4,24,0,0,4234.8301,0.355750024318695,476502.0,8.351334597323914,-1.0307199544578636,0.09195735764927981,0.6446170102177717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADILABAD,TELANGANA,2021,1,2021Q1,25,0,0,3936.0826,0.3907632529735565,476502.0,8.278195271165613,-0.9370975681368522,-0.07313932615830154,0.09362238632101139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
