district_gadm,state_gadm,year,q,quarter,quarter_num,flood_exposure_ruleA_qt,flood_exposure_ruleB_qt,deposits,mean_radiance,pixel_count,log_deposits,log_lights_qt,deposit_change_qt,lights_change_qt,flood_ruleA_L1,flood_ruleB_L1,flood_ruleA_L2,flood_ruleB_L2,flood_ruleA_L3,flood_ruleB_L3,flood_ruleA_L4,flood_ruleB_L4,deposit_change_qt_winsor
ADILABAD,TELANGANA,2015,1,2015Q1,1,0,0,6762.0646,0.2452930559714635,476204.0,8.819231409503296,-1.401233167629198,,,,,,,,,,,
ADILABAD,TELANGANA,2015,2,2015Q2,2,0,0,6650.88,0.1691055148839949,473391.0,8.80265480046279,-1.7713363586832214,-0.0165766090405057,-0.3701031910540233,0.0,0.0,,,,,,,-0.0165766090405057
ADILABAD,TELANGANA,2015,3,2015Q3,3,0,0,6565.5866,0.1374793946743011,470142.0,8.789749433090234,-1.977033739337623,-0.0129053673725554,-0.2056973806544015,0.0,0.0,0.0,0.0,,,,,-0.0129053673725554
ADILABAD,TELANGANA,2015,4,2015Q4,4,0,0,7026.1575,0.2109843095143635,476394.0,8.857537564488762,-1.551243018773828,0.0677881313985278,0.4257907205637949,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0677881313985278
ADILABAD,TELANGANA,2016,1,2016Q1,5,0,0,7748.2714,0.1681352804104486,436640.0,8.955354105024677,-1.7770564084674785,0.0978165405359146,-0.2258133896936502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978165405359146
ADILABAD,TELANGANA,2016,2,2016Q2,6,0,0,7613.1151,0.1972402383883793,475568.0,8.937759053718123,-1.618275658577919,-0.0175950513065537,0.1587807498895592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0175950513065537
ADILABAD,TELANGANA,2017,2,2017Q2,10,0,0,9340.6208,0.2926998039086659,476502.0,9.142235049358325,-1.2251971084363966,0.2044759956402018,0.3930785501415224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044759956402018
ADILABAD,TELANGANA,2017,3,2017Q3,11,0,0,9382.2344,0.2439054350058237,476001.0,9.14667980132727,-1.406883122514763,0.0044447519689452,-0.1816860140783667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044447519689452
ADILABAD,TELANGANA,2017,4,2017Q4,12,0,0,3120.4669,0.2902066359917323,476502.0,8.046058330569236,-1.233722174486112,-1.1006214707580335,0.1731609480286513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1625854252631841
ADILABAD,TELANGANA,2018,1,2018Q1,13,0,0,3357.9837,0.3037259479363759,476495.0,8.119393736965806,-1.1883424376521443,0.0733354063965698,0.0453797368339676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0733354063965698
ADILABAD,TELANGANA,2018,2,2018Q2,14,0,0,3226.4836,0.3159656127293904,476428.0,8.079458041375586,-1.1489619881832849,-0.0399356955902199,0.0393804494688594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0399356955902199
ADILABAD,TELANGANA,2018,3,2018Q3,15,0,0,3315.4043,0.1490168661500016,476502.0,8.106636432827884,-1.8970075502068864,0.0271783914522973,-0.7480455620236013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0271783914522973
ADILABAD,TELANGANA,2018,4,2018Q4,16,0,0,3322.7218,0.2933162798484166,476501.0,8.108840458128608,-1.2231003080846894,0.002204025300724,0.6739072421221968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002204025300724
ADILABAD,TELANGANA,2019,1,2019Q1,17,0,0,3555.539,0.3091070403655369,475945.0,8.176543159950645,-1.1708377496006048,0.0677027018220375,0.0522625584840845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677027018220375
ADILABAD,TELANGANA,2019,2,2019Q2,18,0,0,3393.0579,0.2692598948876062,476455.0,8.129781505165454,-1.3083712093029092,-0.0467616547851914,-0.1375334597023043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0467616547851914
ADILABAD,TELANGANA,2019,3,2019Q3,19,0,0,3402.192,0.1385973248397931,476012.0,8.132469093714484,-1.9689932518762097,0.0026875885490298,-0.6606220425733005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026875885490298
ADILABAD,TELANGANA,2019,4,2019Q4,20,0,0,3710.3296,0.2767268866300582,476360.0,8.219145474147048,-1.2811170703785146,0.0866763804325643,0.687876181497695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866763804325643
ADILABAD,TELANGANA,2020,1,2020Q1,21,0,0,4171.3783,0.3181186169385909,468319.0,8.336241487944653,-1.1421924053797408,0.1170960137976049,0.1389246649987738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1170960137976049
ADILABAD,TELANGANA,2020,2,2020Q2,22,0,0,4165.5769,0.3213258286317189,476465.0,8.334850090390207,-1.132192354892856,-0.0013913975544461,0.0100000504868846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013913975544461
ADILABAD,TELANGANA,2020,3,2020Q3,23,0,0,3862.6872,0.1862450738747914,475989.0,8.259377239674635,-1.6753369646756353,-0.0754728507155721,-0.5431446097827792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0754728507155721
ADILABAD,TELANGANA,2020,4,2020Q4,24,0,0,4234.8301,0.355750024318695,476502.0,8.351334597323914,-1.0307199544578636,0.0919573576492798,0.6446170102177717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0919573576492798
ADILABAD,TELANGANA,2021,1,2021Q1,25,0,0,3936.0826,0.3907632529735565,476502.0,8.278195271165613,-0.9370975681368522,-0.0731393261583015,0.0936223863210113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0731393261583015
ADILABAD,TELANGANA,2021,2,2021Q2,26,0,0,3945.4972,0.3720730940500895,476471.0,8.280583679658784,-0.9859809159357078,0.0023884084931715,-0.0488833477988556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023884084931715
ADILABAD,TELANGANA,2021,3,2021Q3,27,0,0,3846.3742,0.1589627241094906,476486.0,8.255146168622286,-1.8328144652067253,-0.0254375110364986,-0.8468335492710177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0254375110364986
ADILABAD,TELANGANA,2021,4,2021Q4,28,0,0,3876.5085,0.4016626874605813,476502.0,8.262948087182398,-0.909656071338633,0.0078019185601121,0.9231583938680924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078019185601121
ADILABAD,TELANGANA,2022,1,2022Q1,29,0,0,3918.4123,0.4235033790270487,476502.0,8.273696998075474,-0.8568353132458111,0.010748910893076,0.0528207580928219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010748910893076
ADILABAD,TELANGANA,2022,2,2022Q2,30,0,0,3965.9083,0.3918852607409159,476502.0,8.285742304542595,-0.9342376671429852,0.0120453064671206,-0.0774023538971739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120453064671206
ADILABAD,TELANGANA,2022,3,2022Q3,31,0,0,3911.778,0.2744064529736836,476502.0,8.272002886637269,-1.2895072616850989,-0.0137394179053256,-0.3552695945421136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0137394179053256
ADILABAD,TELANGANA,2022,4,2022Q4,32,0,0,3715.9899,0.4061492383480072,476502.0,8.22066945304847,-0.8985754817621202,-0.0513334335887982,0.3909317799229784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0513334335887982
ADILABAD,TELANGANA,2023,1,2023Q1,33,0,0,2544.7776,0.4359267652034759,476502.0,7.842191422591748,-0.8279896832772773,-0.3784780304567228,0.0705857984848429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1625854252631841
ADILABAD,TELANGANA,2023,2,2023Q2,34,0,0,2659.7119,0.4513229827086129,476502.0,7.886348997547749,-0.79335879081423,0.0441575749560012,0.0346308924630472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0441575749560012
ADILABAD,TELANGANA,2023,3,2023Q3,35,0,0,2726.7464,0.2332804705947636,476429.0,7.911231052765297,-1.4512362890773949,0.0248820552175477,-0.6578774982631647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248820552175477
ADILABAD,TELANGANA,2023,4,2023Q4,36,0,0,2770.1567,0.4650880297025043,476502.0,7.927020093246044,-0.7633807577557865,0.0157890404807474,0.6878555313216081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157890404807474
ADILABAD,TELANGANA,2024,1,2024Q1,37,0,0,2878.1069,0.4489899973074594,476502.0,7.965235420871085,-0.7985299246704676,0.0382153276250409,-0.035149166914681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382153276250409
ADILABAD,TELANGANA,2024,2,2024Q2,38,0,0,2896.8491,0.4893948833147683,476502.0,7.971724051131543,-0.7125443281120213,0.0064886302604572,0.0859855965584462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064886302604572
ADILABAD,TELANGANA,2024,3,2024Q3,39,0,0,2969.4104,0.2160790612300236,476502.0,7.9964554040686995,-1.5274936543309088,0.0247313529371568,-0.8149493262188875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0247313529371568
ADILABAD,TELANGANA,2024,4,2024Q4,40,0,0,3093.4188,0.4662517011165618,476502.0,8.037355380731729,-0.7608871919541905,0.0408999766630291,0.7666064623767183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408999766630291
AGAR MALWA,MADHYA PRADESH,2015,1,2015Q1,1,0,0,428.5647,0.1882867614428202,99221.0,6.062772370358597,-1.6644921574816818,,,,,,,,,,,
AGAR MALWA,MADHYA PRADESH,2015,2,2015Q2,2,0,0,454.8512,0.1715989063183466,97654.0,6.12216644047233,-1.756784836863044,0.0593940701137327,-0.0922926793813623,0.0,0.0,,,,,,,0.0593940701137327
AGAR MALWA,MADHYA PRADESH,2015,3,2015Q3,3,0,0,461.343,0.1262124304970105,98461.0,6.136307039863616,-2.061896908817696,0.0141405993912862,-0.305112071954652,0.0,0.0,0.0,0.0,,,,,0.0141405993912862
AGAR MALWA,MADHYA PRADESH,2015,4,2015Q4,4,0,0,460.8911,0.1926313936710357,99225.0,6.135329149011046,-1.6417989598940357,-0.0009778908525701,0.4200979489236605,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.0009778908525701
AGAR MALWA,MADHYA PRADESH,2016,1,2016Q1,5,0,0,512.1671,0.1473403473695118,97584.0,6.240601523126099,-1.9082460009647788,0.1052723741150529,-0.2664470410707431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1052723741150529
AGAR MALWA,MADHYA PRADESH,2016,2,2016Q2,6,0,0,499.1137,0.2034616221984227,99225.0,6.214835472570731,-1.5873749876222245,-0.0257660505553678,0.3208710133425545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0257660505553678
